Sample,Cohort,Normalisation
Sample01,NT,0.5295
Sample02,NT,0.4875
Sample03,NT,0.496
Sample05,25mM 2DG,0.419
Sample06,25mM 2DG,0.4075
Sample07,25mM 2DG,0.4385
Sample09,10uM AMA,0.354
Sample10,10uM AMA,0.2945
Sample11,10uM AMA,0.3175
